generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,win_rate,league_size
1,512,self,0.2749800980091095,0.06853396445512772,-139.00733947753906,,1
2,1024,league,0.2631800174713135,0.08109648525714874,-138.16937255859375,,1
3,1536,league,0.20925241708755493,0.0735822319984436,-138.0201416015625,,1
4,2048,league,0.1482957899570465,0.08013968169689178,-137.79550170898438,,1
5,2560,self,-0.0,0.20412249863147736,-137.59918212890625,,1
6,3072,self,0.1413860023021698,0.0837094709277153,-137.55633544921875,,1
