generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,win_rate,league_size
1,512,league,0.2208903431892395,0.12329611927270889,-138.7012939453125,,1
2,1024,league,-0.0,0.12520253658294678,-138.44375610351562,,1
3,1536,league,0.17394109070301056,0.10422427952289581,-138.45266723632812,,1
4,2048,league,0.16855372488498688,0.15982088446617126,-138.19680786132812,,1
5,2560,self,0.1789255440235138,0.2939259707927704,-137.85919189453125,,1
6,3072,self,0.12253941595554352,0.11882303655147552,-137.55633544921875,,1
7,3584,league,0.11220686137676239,0.08351568877696991,-137.30303955078125,,1
8,4096,league,-0.0,0.01902630180120468,-137.01849365234375,,1
9,4608,self,0.1104438304901123,0.09000463038682938,-136.9317169189453,,1
10,5120,self,0.07492007315158844,0.24569520354270935,-136.7793731689453,,1
11,5632,self,-0.0,0.00968627817928791,-136.525390625,,1
12,6144,self,0.07552727311849594,0.21474894881248474,-136.52365112304688,,1
13,6656,league,0.09172292053699493,0.08333303034305573,-136.4546356201172,,1
14,7168,self,0.09081791341304779,0.0675155445933342,-136.28048706054688,,1
15,7680,self,0.10526098310947418,0.06184518337249756,-135.99496459960938,,1
16,8192,self,0.08596822619438171,0.06050895154476166,-135.61131286621094,,1
17,8704,league,0.09829940646886826,0.06298589706420898,-135.19361877441406,,1
