generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,win_rate,league_size
1,128,self,0.47245800495147705,0.11689816415309906,-138.14236450195312,1.53109872341156,0.9609375,1,27.0234375,-35.345863342285156,146.46478271484375,-0.010756250000000002,0.0035156250000000014,0.0,,1
2,256,self,0.12913760542869568,0.010915650054812431,-138.07516479492188,1.1118230819702148,0.9296875,1,26.981340408325195,-35.345863342285156,146.43968200683594,-0.0019875000000000014,0.0027343749999999994,0.0,,1
3,384,self,0.20834478735923767,0.12570317089557648,-137.95111083984375,0.832502007484436,0.890625,1,26.870040893554688,-35.345863342285156,146.42694091796875,-0.006903125,0.008984374999999998,0.0,,1
4,512,self,0.5502262115478516,0.2354104071855545,-137.80128479003906,0.9188350439071655,0.8828125,1,26.742795944213867,-35.345863342285156,146.4043426513672,0.006453124999999998,0.017578125000000003,0.0,,1
5,640,self,0.24953047931194305,0.027260754257440567,-137.9314422607422,0.7086426019668579,0.8984375,1,26.835840225219727,-35.345863342285156,146.44146728515625,0.0030046874999999987,0.004687500000000001,0.0,,1
5,640,eval,0.24953047931194305,0.027260754257440567,-137.9314422607422,,,,,,,,,,0.0,1
6,768,self,0.33755192160606384,0.05429723113775253,-137.73623657226562,1.0159417390823364,0.8828125,1,26.69811248779297,-35.345863342285156,146.3839874267578,-0.005307812500000001,0.008203125000000002,0.0,,1
7,896,self,0.3504219055175781,0.018404603004455566,-137.75559997558594,0.8072311878204346,0.9140625,1,26.695335388183594,-35.345863342285156,146.4061279296875,-0.0082453125,0.008007812500000001,0.0,,1
8,1024,self,0.19910797476768494,0.06402969360351562,-137.7322998046875,1.1011910438537598,0.9140625,1,26.658706665039062,-35.345863342285156,146.41946411132812,0.0027796875,0.010937500000000006,0.0,,1
9,1152,self,0.44124728441238403,0.14869838953018188,-137.67636108398438,1.1454694271087646,0.9296875,1,26.6077880859375,-35.345863342285156,146.4144287109375,0.008437499999999999,0.008984375000000001,0.0,,1
10,1280,self,0.5009105801582336,0.12769022583961487,-137.64144897460938,1.0609755516052246,0.859375,1,26.56827163696289,-35.345863342285156,146.41903686523438,0.0055593749999999975,0.011328125000000001,0.0,,1
10,1280,eval,0.5009105801582336,0.12769022583961487,-137.64144897460938,,,,,,,,,,0.5,1
11,1408,self,0.441242516040802,0.000888618640601635,-137.6284942626953,0.8884244561195374,0.8515625,1,26.556591033935547,-35.345863342285156,146.4177703857422,1.406249999999998e-05,0.0,0.0,,1
12,1536,self,0.17866826057434082,0.00768612464889884,-137.58851623535156,0.8593711853027344,0.8828125,1,26.50332260131836,-35.345863342285156,146.43106079101562,-0.0033281249999999986,0.001953125,0.0,,1
13,1664,self,0.343180775642395,0.010241009294986725,-137.48910522460938,0.7281768321990967,0.9375,1,26.399784088134766,-35.345863342285156,146.4351806640625,0.0018046875000000005,0.002734375,0.0,,1
14,1792,league,0.1408681869506836,0.19438490271568298,-137.35302734375,0.8415406942367554,0.90625,1,26.296062469482422,-35.345863342285156,146.40283203125,-0.0214546875,0.0007812499999999997,0.0,,1
15,1920,league,0.49595850706100464,0.6304035186767578,-137.37196350097656,0.7905070185661316,0.9296875,1,26.3175048828125,-35.345863342285156,146.40032958984375,0.024557812499999995,0.017578124999999997,0.0,,1
15,1920,eval,0.49595850706100464,0.6304035186767578,-137.37196350097656,,,,,,,,,,0.75,1
16,2048,self,0.2861296534538269,0.1758885383605957,-137.427734375,0.6727638244628906,0.8984375,1,26.3574275970459,-35.345863342285156,146.41616821289062,0.0116140625,0.009765625000000003,0.0,,2
17,2176,self,0.18502898514270782,0.0032569807954132557,-137.4639892578125,0.8051058053970337,0.9296875,1,26.36350440979004,-35.345863342285156,146.44635009765625,-0.0019578125,0.0007812500000000002,0.0,,2
18,2304,self,0.3036566376686096,0.001669461838901043,-137.48338317871094,0.8115315437316895,0.9296875,1,26.376327514648438,-35.345863342285156,146.45291137695312,-0.0010093750000000005,0.0,0.0,,2
19,2432,self,0.2662188708782196,0.30472180247306824,-137.42677307128906,0.7762905359268188,0.8828125,1,26.32181167602539,-35.345863342285156,146.4508056640625,-0.0154640625,0.0048828125,0.0,,2
20,2560,self,0.24867719411849976,0.15264536440372467,-137.44773864746094,0.7808792591094971,0.9375,1,26.324878692626953,-35.345863342285156,146.46871948242188,-0.0136125,0.004882812500000003,0.0,,2
20,2560,eval,0.24867719411849976,0.15264536440372467,-137.44773864746094,,,,,,,,,,0.75,2
21,2688,self,0.3242682218551636,0.07053511589765549,-137.3963623046875,1.0758469104766846,0.8984375,1,26.282127380371094,-35.345863342285156,146.46011352539062,-0.0143375,0.003710937500000001,0.0,,3
22,2816,self,0.1763317883014679,0.05857376754283905,-137.37417602539062,0.6866726875305176,0.8359375,1,26.269283294677734,-35.345863342285156,146.45074462890625,-0.004943750000000002,0.003906249999999999,0.0,,3
23,2944,self,0.23699024319648743,0.1001087874174118,-137.41033935546875,0.6450338363647461,0.875,1,26.296348571777344,-35.345863342285156,146.4598388671875,-0.0002703124999999994,0.009375000000000001,0.0,,3
24,3072,self,0.2965531647205353,0.05380803346633911,-137.43179321289062,0.7028140425682068,0.859375,1,26.30255126953125,-35.345863342285156,146.47511291503906,0.00260625,0.00859375,0.0,,3
25,3200,self,0.2267093062400818,0.00026788885588757694,-137.579345703125,0.7518976330757141,0.859375,1,26.40721893310547,-35.345863342285156,146.5179901123047,-4.3750000000000054e-05,0.0,0.0,,3
25,3200,eval,0.2267093062400818,0.00026788885588757694,-137.579345703125,,,,,,,,,,0.0,3
26,3328,self,0.31571751832962036,0.15714025497436523,-137.49856567382812,0.7020950317382812,0.859375,1,26.341079711914062,-35.345863342285156,146.5033416748047,0.007279687500000001,0.01171875,0.0,,3
27,3456,self,0.2051517367362976,0.002958225319162011,-137.4405975341797,0.70389324426651,0.859375,1,26.302326202392578,-35.345863342285156,146.484130859375,-0.0010343750000000012,0.0005859375000000001,0.0,,3
28,3584,self,0.30286452174186707,0.020541708916425705,-137.49996948242188,0.6879782676696777,0.8984375,1,26.341596603393555,-35.345863342285156,146.50424194335938,0.0023218749999999993,0.00390625,0.0,,3
29,3712,self,0.3014211058616638,0.009753989055752754,-137.54708862304688,0.6548596024513245,0.859375,1,26.377702713012695,-35.345863342285156,146.5152587890625,0.00015781250000000045,0.0035156250000000005,0.0,,3
30,3840,self,0.1989254355430603,0.03017088957130909,-137.54800415039062,0.7335898876190186,0.890625,1,26.382699966430664,-35.345863342285156,146.51116943359375,-0.0085078125,0.006640625,0.0,,3
30,3840,eval,0.1989254355430603,0.03017088957130909,-137.54800415039062,,,,,,,,,,0.5,3
31,3968,self,0.18966472148895264,0.07927994430065155,-137.6544647216797,0.7802802920341492,0.921875,1,26.464391708374023,-35.345863342285156,146.53594970703125,0.004003125000000003,0.008203125000000002,0.0,,3
32,4096,self,0.1743949055671692,0.045705396682024,-137.63470458984375,0.6357280015945435,0.859375,1,26.459455490112305,-35.345863342285156,146.52108764648438,0.0016453124999999992,0.0080078125,0.0,,3
33,4224,league,0.31342196464538574,0.14091035723686218,-137.66302490234375,0.8595930337905884,0.875,1,26.471057891845703,-35.345863342285156,146.53781127929688,0.004376562500000004,0.0140625,0.0,,3
34,4352,league,0.22973641753196716,0.9789119958877563,-137.70526123046875,0.7075037360191345,0.859375,1,26.501401901245117,-35.345863342285156,146.5497283935547,0.0277859375,0.0193359375,0.0,,3
35,4480,self,0.27609217166900635,0.00021574198035523295,-137.73280334472656,0.6392078399658203,0.84375,1,26.527606964111328,-35.345863342285156,146.55105590820312,-3.124999999999994e-06,0.0,0.0,,3
35,4480,eval,0.27609217166900635,0.00021574198035523295,-137.73280334472656,,,,,,,,,,0.5,3
36,4608,self,0.32242655754089355,0.03299873322248459,-137.68588256835938,0.8385510444641113,0.8828125,1,26.48228645324707,-35.345863342285156,146.54946899414062,-0.007871875,0.008593749999999999,0.0,,3
37,4736,self,0.1796698421239853,0.6758273243904114,-137.71786499023438,0.6310127973556519,0.8671875,1,26.509136199951172,-35.345863342285156,146.55458068847656,0.022862499999999994,0.023046874999999998,0.0,,3
38,4864,self,0.1934291273355484,0.04802321270108223,-137.73004150390625,0.6904670596122742,0.8515625,1,26.520240783691406,-35.345863342285156,146.55567932128906,-0.0015359374999999978,0.00859375,0.0,,3
39,4992,self,0.2138795405626297,0.15651826560497284,-137.80767822265625,0.734536349773407,0.859375,1,26.577396392822266,-35.345863342285156,146.57614135742188,0.006606250000000002,0.010351562499999998,0.0,,3
40,5120,self,0.23590978980064392,0.3869456648826599,-137.85586547851562,0.7413287162780762,0.8984375,1,26.605064392089844,-35.345863342285156,146.59666442871094,0.017204687499999996,0.016992187500000002,0.0,,3
40,5120,eval,0.23590978980064392,0.3869456648826599,-137.85586547851562,,,,,,,,,,1.0,3
41,5248,league,0.2629011869430542,0.0005207434296607971,-137.95333862304688,0.5105066895484924,0.8515625,1,26.680883407592773,-35.345863342285156,146.61830139160156,-1.2499999999999977e-05,0.000390625,0.0,,4
42,5376,league,0.1374935507774353,0.22902911901474,-137.95098876953125,0.6033332347869873,0.8828125,1,26.677942276000977,-35.345863342285156,146.618896484375,0.010057812500000003,0.013671875000000002,0.0,,4
43,5504,self,0.2875731587409973,0.19084076583385468,-138.05462646484375,0.6124112606048584,0.828125,1,26.75147247314453,-35.345863342285156,146.64901733398438,0.007207812499999997,0.007421875,0.0078125,,4
44,5632,self,0.19079020619392395,0.005050644278526306,-138.08523559570312,0.6280314922332764,0.875,1,26.772865295410156,-35.345863342285156,146.65823364257812,-0.0013140625000000003,0.001953125,0.0,,4
45,5760,self,0.14420460164546967,0.04071282967925072,-138.10931396484375,0.5261400938034058,0.8984375,1,26.78554916381836,-35.345863342285156,146.66961669921875,-0.010190624999999997,0.001953125,0.0,,4
45,5760,eval,0.14420460164546967,0.04071282967925072,-138.10931396484375,,,,,,,,,,1.0,4
46,5888,self,0.5053167939186096,0.001714538550004363,-138.20242309570312,0.8221115469932556,0.859375,1,26.850093841552734,-35.345863342285156,146.69818115234375,-6.250000000000006e-06,0.0,0.0,,5
47,6016,self,0.1916714608669281,0.007213281467556953,-138.26800537109375,0.6432559490203857,0.859375,1,26.88941192626953,-35.345863342285156,146.72445678710938,-0.0007624999999999994,0.00390625,0.0,,5
48,6144,self,0.2032044529914856,0.08934149146080017,-138.31484985351562,0.7749232649803162,0.890625,1,26.925065994262695,-35.345863342285156,146.73562622070312,0.0072125,0.009570312500000004,0.0,,5
49,6272,self,0.16722381114959717,0.002846811432391405,-138.37692260742188,0.5441173315048218,0.828125,1,26.969411849975586,-35.345863342285156,146.7533721923828,3.4375000000000456e-05,0.000390625,0.0,,5
50,6400,self,0.1904129683971405,0.0573357492685318,-138.36312866210938,0.5591362714767456,0.890625,1,26.957366943359375,-35.345863342285156,146.75161743164062,-0.005804687500000002,0.006835937500000002,0.0,,5
50,6400,eval,0.1904129683971405,0.0573357492685318,-138.36312866210938,,,,,,,,,,1.0,5
51,6528,self,0.1752990186214447,0.12615150213241577,-138.4822540283203,0.5328008532524109,0.84375,1,27.052188873291016,-35.345863342285156,146.7759246826172,0.0055953125000000005,0.014648437499999998,0.0,,5
52,6656,league,0.2053920030593872,0.8525797724723816,-138.45486450195312,0.44642314314842224,0.859375,1,27.032766342163086,-35.345863342285156,146.7679443359375,0.0268375,0.0244140625,0.0,,5
53,6784,league,0.27828702330589294,0.30244794487953186,-138.48858642578125,0.7929161787033081,0.8828125,1,27.06429672241211,-35.345863342285156,146.77017211914062,0.014248437499999999,0.017968750000000006,0.0,,5
54,6912,self,0.2266930341720581,0.2565729320049286,-138.51214599609375,0.604326605796814,0.8671875,1,27.083057403564453,-35.345863342285156,146.77496337890625,0.012515625000000002,0.013281250000000005,0.0,,5
55,7040,self,0.11547619104385376,0.21648335456848145,-138.50787353515625,0.4333655834197998,0.8359375,1,27.0877742767334,-35.345863342285156,146.76596069335938,0.012273437500000001,0.013867187500000001,0.0,,5
55,7040,eval,0.11547619104385376,0.21648335456848145,-138.50787353515625,,,,,,,,,,0.25,5
56,7168,self,0.22890084981918335,0.04865763708949089,-138.56411743164062,0.4833775460720062,0.875,1,27.134212493896484,-35.345863342285156,146.77578735351562,0.0021843750000000006,0.008203125,0.0,,5
57,7296,self,0.44235390424728394,0.04952370375394821,-138.5740966796875,0.6616677045822144,0.890625,1,27.138641357421875,-35.345863342285156,146.78131103515625,0.003543750000000002,0.0095703125,0.0,,5
58,7424,self,0.3213593661785126,0.006101887673139572,-138.63385009765625,0.4606350362300873,0.8828125,1,27.18904685974121,-35.345863342285156,146.79067993164062,-9.375000000000153e-06,0.000390625,0.0,,5
59,7552,self,0.19879530370235443,0.5742462277412415,-138.59625244140625,0.604922890663147,0.8046875,1,27.167198181152344,-35.345863342285156,146.77493286132812,0.02721718749999999,0.0189453125,0.0,,5
60,7680,self,0.3265387713909149,0.006668052636086941,-138.65489196777344,0.5696700811386108,0.828125,1,27.216936111450195,-35.345863342285156,146.7838134765625,6.250000000000032e-06,0.000390625,0.0,,5
60,7680,eval,0.3265387713909149,0.006668052636086941,-138.65489196777344,,,,,,,,,,0.5,5
61,7808,self,0.5098658800125122,0.03789859265089035,-138.60897827148438,0.5293772220611572,0.8671875,1,27.186100006103516,-35.345863342285156,146.76873779296875,0.0017078125000000008,0.0072265625,0.0,,5
62,7936,self,0.20380692183971405,0.01732727885246277,-138.65576171875,0.468952476978302,0.8515625,1,27.224925994873047,-35.345863342285156,146.77670288085938,-0.002001562499999999,0.002734375,0.0,,5
63,8064,league,0.2076234519481659,0.3313787281513214,-138.63787841796875,0.5257701277732849,0.8828125,1,27.21133041381836,-35.345863342285156,146.7724151611328,0.012309374999999997,0.0171875,0.0,,5
64,8192,self,0.24959470331668854,0.05089014023542404,-138.6207275390625,0.5456680059432983,0.875,1,27.203001022338867,-35.345863342285156,146.76358032226562,0.0030375000000000003,0.0095703125,0.0,,5
65,8320,self,0.27898654341697693,0.09375175088644028,-138.60195922851562,0.6138571500778198,0.8671875,1,27.197298049926758,-35.345863342285156,146.75051879882812,-0.007317187500000002,0.004687500000000001,0.0,,5
65,8320,eval,0.27898654341697693,0.09375175088644028,-138.60195922851562,,,,,,,,,,0.5,5
66,8448,self,0.3969956338405609,0.09940482676029205,-138.6624755859375,0.5244824886322021,0.875,1,27.237476348876953,-35.345863342285156,146.77085876464844,-0.01051875,0.0,0.0,,5
67,8576,league,0.16809791326522827,0.08910856395959854,-138.5836181640625,0.500734806060791,0.8671875,1,27.18819808959961,-35.345863342285156,146.74130249023438,-0.0094984375,0.007226562500000002,0.0,,5
68,8704,self,0.2194230556488037,0.0751938670873642,-138.61758422851562,0.5114295482635498,0.8125,1,27.206275939941406,-35.345863342285156,146.75717163085938,0.006506250000000001,0.010546875,0.0,,5
69,8832,self,0.16678841412067413,0.022790510207414627,-138.61737060546875,0.563025712966919,0.875,1,27.209394454956055,-35.345863342285156,146.7538299560547,-0.0025640625000000004,0.0021484375,0.0,,5
70,8960,self,0.17201653122901917,0.05923044681549072,-138.56787109375,0.508563220500946,0.890625,1,27.188819885253906,-35.345863342285156,146.72491455078125,-0.009828125000000002,0.00390625,0.0,,5
70,8960,eval,0.17201653122901917,0.05923044681549072,-138.56787109375,,,,,,,,,,0.75,5
71,9088,self,0.1557767391204834,0.024614445865154266,-138.5924072265625,0.5390133857727051,0.9296875,1,27.203712463378906,-35.345863342285156,146.73455810546875,-0.003137500000000001,0.00234375,0.0,,5
72,9216,league,0.27923110127449036,0.18144311010837555,-138.5084228515625,0.4997421205043793,0.84375,1,27.15261459350586,-35.345863342285156,146.70166015625,-0.0072484375,0.0087890625,0.0,,5
73,9344,self,0.28477489948272705,0.015116426162421703,-138.5631103515625,0.58851158618927,0.90625,1,27.191267013549805,-35.345863342285156,146.71771240234375,-3.281250000000057e-05,0.0015625,0.0,,5
74,9472,self,0.38755926489830017,0.25878238677978516,-138.50473022460938,0.6102899312973022,0.8515625,1,27.163402557373047,-35.345863342285156,146.68719482421875,0.0109125,0.020507812500000003,0.0,,5
75,9600,self,0.13039512932300568,0.020682988688349724,-138.51318359375,0.4528355598449707,0.9140625,1,27.173873901367188,-35.345863342285156,146.68516540527344,0.0034375000000000013,0.0044921875000000005,0.0,,5
75,9600,eval,0.13039512932300568,0.020682988688349724,-138.51318359375,,,,,,,,,,0.75,5
76,9728,self,0.17456160485744476,0.11651196330785751,-138.48330688476562,0.4062986373901367,0.8515625,1,27.169296264648438,-35.345863342285156,146.65988159179688,-0.0015796874999999978,0.0140625,0.0,,5
77,9856,self,0.1662522554397583,0.09114699065685272,-138.46853637695312,0.627962589263916,0.8671875,1,27.163612365722656,-35.345863342285156,146.65077209472656,-0.005296875000000004,0.010742187500000002,0.0,,5
78,9984,self,0.25137951970100403,0.0561099648475647,-138.47360229492188,0.6638534069061279,0.8828125,1,27.16775131225586,-35.345863342285156,146.6517333984375,6.406250000000009e-05,0.015234375000000001,0.0,,5
79,10112,self,0.16789504885673523,0.05773249268531799,-138.49232482910156,0.4690452814102173,0.8671875,1,27.18503761291504,-35.345863342285156,146.6531524658203,0.005785937500000001,0.009179687500000002,0.0,,5
