generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,win_rate,league_size
1,128,self,0.328508585691452,0.10536125302314758,-138.6204071044922,0.6751091480255127,0.8984375,1,27.505111694335938,-35.345863342285156,146.46115112304688,0.003359375,0.0091796875,0.0,,1
2,256,self,0.34117913246154785,0.03082212246954441,-138.54861450195312,0.6844220161437988,0.859375,1,27.651905059814453,-35.345863342285156,146.24258422851562,-0.0019453124999999996,0.008007812500000001,0.0,,1
3,384,league,0.23365861177444458,0.0671737939119339,-138.4451446533203,0.5316159725189209,0.890625,1,27.70946502685547,-35.345863342285156,146.08154296875,-0.010056250000000003,0.001953125,0.0,,1
4,512,league,0.17767447233200073,0.02096259593963623,-138.44955444335938,0.4367453157901764,0.828125,1,27.71638298034668,-35.345863342285156,146.07904052734375,0.001934375,0.005078125,0.0,,1
5,640,self,0.12278135120868683,0.014234033413231373,-138.4110107421875,0.41690126061439514,0.8125,1,27.699588775634766,-35.345863342285156,146.05728149414062,-8.593750000000121e-05,0.0033203125,0.0,,1
5,640,eval,0.12278135120868683,0.014234033413231373,-138.4110107421875,,,,,,,,,,0.75,1
6,768,self,0.12866711616516113,0.03967516869306564,-138.43307495117188,0.3895057439804077,0.8359375,1,27.695470809936523,-35.345863342285156,146.08348083496094,0.0028125,0.007812499999999999,0.0,,2
7,896,self,0.11216841638088226,0.00357685680501163,-138.454833984375,0.5227057933807373,0.8203125,1,27.669845581054688,-35.345863342285156,146.13084411621094,-0.0010781250000000005,0.00078125,0.0,,2
8,1024,self,0.2003491073846817,0.042603373527526855,-138.45645141601562,0.3699520528316498,0.8125,1,27.66217613220215,-35.345863342285156,146.14013671875,-0.01040625,0.006640625,0.0,,2
9,1152,league,0.18808692693710327,0.07437451183795929,-138.48391723632812,0.3913050889968872,0.8046875,1,27.677921295166016,-35.345863342285156,146.15185546875,0.005304687500000001,0.009960937500000005,0.0,,2
10,1280,self,0.21688678860664368,0.30896103382110596,-138.50656127929688,0.3997577428817749,0.765625,1,27.68343734741211,-35.345863342285156,146.16897583007812,0.013664062500000004,0.016796875000000003,0.0,,2
10,1280,eval,0.21688678860664368,0.30896103382110596,-138.50656127929688,,,,,,,,,,0.5,2
11,1408,self,0.21391189098358154,0.11139921844005585,-138.54054260253906,0.5062484741210938,0.8515625,1,27.661375045776367,-35.345863342285156,146.22503662109375,-0.011262500000000003,0.0037109375000000024,0.0,,2
12,1536,self,0.1503538340330124,0.07516887038946152,-138.57286071777344,0.3203425705432892,0.7734375,1,27.670164108276367,-35.345863342285156,146.24856567382812,-0.009145312500000002,0.004296875,0.0,,2
13,1664,league,0.1674700528383255,0.6258748173713684,-138.59017944335938,0.3368491530418396,0.8828125,1,27.70010757446289,-35.345863342285156,146.23593139648438,0.020589062499999998,0.024023437499999998,0.0,,2
14,1792,self,0.1461815983057022,0.20927061140537262,-138.59707641601562,0.29023104906082153,0.78125,1,27.70909881591797,-35.345863342285156,146.2338409423828,0.008614062500000004,0.013085937500000002,0.0,,2
15,1920,self,0.12613096833229065,0.037392646074295044,-138.6090087890625,0.3598620891571045,0.78125,1,27.708904266357422,-35.345863342285156,146.2459716796875,-0.0053734375000000015,0.0039062499999999996,0.0,,2
15,1920,eval,0.12613096833229065,0.037392646074295044,-138.6090087890625,,,,,,,,,,0.25,2
16,2048,league,0.28773754835128784,0.052478063851594925,-138.6182861328125,0.3654402196407318,0.8203125,1,27.70304298400879,-35.345863342285156,146.26107788085938,0.0018718749999999998,0.008984375,0.0,,2
17,2176,league,0.2200244963169098,0.09917358309030533,-138.61578369140625,0.3613770008087158,0.78125,1,27.688369750976562,-35.345863342285156,146.27325439453125,0.0084984375,0.010546875,0.0,,2
18,2304,self,0.442724347114563,0.061876602470874786,-138.59951782226562,0.5287393927574158,0.8515625,1,27.66765022277832,-35.345863342285156,146.27772521972656,0.0016937499999999978,0.009960937500000003,0.0,,2
19,2432,self,0.22578683495521545,0.03122885152697563,-138.5771484375,0.2976154088973999,0.8828125,1,27.648006439208984,-35.345863342285156,146.27499389648438,-0.006601562499999999,0.0021484375,0.0,,2
20,2560,league,0.12835198640823364,0.4609948992729187,-138.54095458984375,0.33994078636169434,0.8671875,1,27.628875732421875,-35.345863342285156,146.2579345703125,0.018293750000000008,0.019726562500000003,0.0,,2
20,2560,eval,0.12835198640823364,0.4609948992729187,-138.54095458984375,,,,,,,,,,1.0,2
21,2688,self,0.23992294073104858,0.13730809092521667,-138.48568725585938,0.4381781220436096,0.8203125,1,27.60439682006836,-35.345863342285156,146.22714233398438,0.005309374999999997,0.015234375,0.0,,3
22,2816,self,0.15656980872154236,0.023956213146448135,-138.42041015625,0.2988049387931824,0.796875,1,27.569759368896484,-35.345863342285156,146.19651794433594,-0.0004578125000000017,0.00390625,0.0,,3
23,2944,self,0.18486732244491577,0.017875730991363525,-138.34536743164062,0.2723931074142456,0.765625,1,27.531539916992188,-35.345863342285156,146.15969848632812,0.0029296875000000004,0.003515625,0.0,,3
24,3072,self,0.12487886846065521,0.11157514899969101,-138.26242065429688,0.2896132469177246,0.8203125,1,27.476367950439453,-35.345863342285156,146.13189697265625,0.008629687500000004,0.012890625000000003,0.0,,3
25,3200,self,0.31646522879600525,0.028208255767822266,-138.1739959716797,0.3387637734413147,0.7578125,1,27.42096519470215,-35.345863342285156,146.09889221191406,-0.002964062500000001,0.008398437500000001,0.0,,3
25,3200,eval,0.31646522879600525,0.028208255767822266,-138.1739959716797,,,,,,,,,,0.5,3
26,3328,self,0.24060839414596558,0.08740802109241486,-138.08628845214844,0.34737884998321533,0.8046875,1,27.36737823486328,-35.345863342285156,146.06475830078125,0.006823437499999999,0.009375,0.0,,3
27,3456,self,0.21793049573898315,0.11799658834934235,-138.04705810546875,0.34615784883499146,0.78125,1,27.34366226196289,-35.345863342285156,146.04925537109375,0.008579687499999999,0.010937500000000003,0.0,,3
28,3584,self,0.17669646441936493,0.01313661877065897,-137.994140625,0.3475591540336609,0.796875,1,27.306272506713867,-35.345863342285156,146.03375244140625,-0.00026562499999999953,0.0009765625,0.0,,3
29,3712,league,0.2165491282939911,0.4980325698852539,-137.8670196533203,0.31722915172576904,0.796875,1,27.215370178222656,-35.345863342285156,145.9975128173828,0.024384374999999996,0.022460937500000003,0.0,,3
30,3840,self,0.09817489981651306,0.017064062878489494,-137.79708862304688,0.2888734042644501,0.765625,1,27.171024322509766,-35.345863342285156,145.971923828125,1.874999999999952e-05,0.00546875,0.0,,3
30,3840,eval,0.09817489981651306,0.017064062878489494,-137.79708862304688,,,,,,,,,,0.5,3
31,3968,self,0.13955505192279816,0.2181270718574524,-137.70962524414062,0.3012487590312958,0.8203125,1,27.112340927124023,-35.345863342285156,145.94314575195312,0.01686875000000001,0.013671875000000002,0.0,,3
32,4096,self,0.1529196798801422,0.027499832212924957,-137.63650512695312,0.2522696554660797,0.796875,1,27.072160720825195,-35.345863342285156,145.91021728515625,-0.0017343750000000005,0.0,0.0,,3
33,4224,self,0.19088031351566315,0.2260686755180359,-137.59417724609375,0.2799758315086365,0.7734375,1,27.04955291748047,-35.345863342285156,145.89048767089844,0.01896875,0.011914062500000001,0.0,,3
34,4352,league,0.17415465414524078,0.2079651951789856,-137.53863525390625,0.32860618829727173,0.7734375,1,27.01211929321289,-35.345863342285156,145.87237548828125,-0.015090624999999998,0.005468749999999999,0.0,,3
35,4480,self,0.12792056798934937,0.045565009117126465,-137.4503173828125,0.29492688179016113,0.75,1,26.933887481689453,-35.345863342285156,145.86227416992188,0.0005999999999999976,0.009960937500000003,0.0,,3
35,4480,eval,0.12792056798934937,0.045565009117126465,-137.4503173828125,,,,,,,,,,0.25,3
36,4608,self,0.12546373903751373,0.019197065383195877,-137.348876953125,0.31194913387298584,0.796875,1,26.857769012451172,-35.345863342285156,145.8369598388672,0.00023281249999999995,0.0015625,0.0,,3
37,4736,self,0.26608771085739136,0.07467306405305862,-137.2841796875,0.38803398609161377,0.8359375,1,26.821916580200195,-35.345863342285156,145.80813598632812,-0.004532812500000001,0.008984375000000003,0.0,,3
38,4864,self,0.14668618142604828,0.03139399364590645,-137.20016479492188,0.3384974002838135,0.7890625,1,26.758806228637695,-35.345863342285156,145.78721618652344,-0.0018375000000000002,0.0007812500000000002,0.0,,3
39,4992,self,0.1239786297082901,0.24684296548366547,-137.18368530273438,0.2922128736972809,0.8125,1,26.760164260864258,-35.345863342285156,145.76939392089844,0.013573437500000002,0.016796875,0.0,,3
40,5120,self,0.16015318036079407,0.009796468541026115,-137.17080688476562,0.28841540217399597,0.78125,1,26.744234085083008,-35.345863342285156,145.77243041992188,0.0028296875,0.00546875,0.0,,3
40,5120,eval,0.16015318036079407,0.009796468541026115,-137.17080688476562,,,,,,,,,,0.5,3
41,5248,self,0.1384977251291275,0.022310059517621994,-137.19277954101562,0.30401167273521423,0.796875,1,26.766782760620117,-35.345863342285156,145.7718505859375,-0.0004999999999999999,0.00078125,0.0,,3
42,5376,self,0.22108867764472961,0.058079324662685394,-137.17340087890625,0.33895885944366455,0.7890625,1,26.75086212158203,-35.345863342285156,145.76841735839844,-0.010181249999999996,0.012109375,0.0,,3
43,5504,self,0.09551745653152466,0.09846019744873047,-137.12066650390625,0.250003844499588,0.8046875,1,26.710323333740234,-35.345863342285156,145.75619506835938,-0.012462500000000001,0.006250000000000001,0.0,,3
44,5632,self,0.141463503241539,0.22243887186050415,-137.04531860351562,0.2525968551635742,0.8359375,1,26.63128662109375,-35.345863342285156,145.75990295410156,0.017418750000000004,0.014453125,0.0,,3
45,5760,self,0.1368398815393448,0.0220675989985466,-136.93348693847656,0.2444133758544922,0.8125,1,26.526975631713867,-35.345863342285156,145.75238037109375,0.0017921875000000002,0.005078124999999999,0.0,,3
45,5760,eval,0.1368398815393448,0.0220675989985466,-136.93348693847656,,,,,,,,,,0.25,3
46,5888,self,0.16794994473457336,0.14564107358455658,-136.93045043945312,0.2632125914096832,0.828125,1,26.518611907958984,-35.345863342285156,145.75770568847656,0.010160937499999998,0.016406250000000004,0.0,,3
47,6016,self,0.1740480661392212,0.0815819799900055,-136.96363830566406,0.32915472984313965,0.8359375,1,26.545127868652344,-35.345863342285156,145.76437377929688,0.0035718750000000047,0.013476562500000002,0.0,,3
48,6144,league,0.10141880810260773,0.011581293307244778,-136.97564697265625,0.2594311833381653,0.7890625,1,26.544612884521484,-35.345863342285156,145.77691650390625,0.001073437499999999,0.0,0.0078125,,3
49,6272,league,0.08556489646434784,0.288769006729126,-137.1293182373047,0.2313459813594818,0.78125,1,26.6476993560791,-35.345863342285156,145.82748413085938,0.019279687500000003,0.016796874999999996,0.0,,3
50,6400,self,0.129585862159729,0.06475120782852173,-137.24606323242188,0.2832132577896118,0.7734375,1,26.727027893066406,-35.345863342285156,145.86489868164062,-0.00961875,0.0060546874999999984,0.0,,3
50,6400,eval,0.129585862159729,0.06475120782852173,-137.24606323242188,,,,,,,,,,0.5,3
51,6528,self,0.15708011388778687,0.06215261295437813,-137.39566040039062,0.2722644805908203,0.84375,1,26.847455978393555,-35.345863342285156,145.89407348632812,-0.009164062499999999,0.007031249999999999,0.0,,3
52,6656,self,0.2075710892677307,0.027536099776625633,-137.48666381835938,0.28939002752304077,0.7734375,1,26.931747436523438,-35.345863342285156,145.90078735351562,0.0008109374999999997,0.008203124999999999,0.0,,3
53,6784,self,0.12944461405277252,0.06623036414384842,-137.53964233398438,0.22222526371479034,0.828125,1,26.960657119750977,-35.345863342285156,145.92483520507812,0.007040625,0.01015625,0.0,,3
54,6912,self,0.1852264404296875,0.03694169223308563,-137.68423461914062,0.26589280366897583,0.8359375,1,27.054431915283203,-35.345863342285156,145.97564697265625,-0.0004406249999999992,0.007226562499999998,0.0,,3
55,7040,self,0.10478010773658752,0.015124281868338585,-137.77772521972656,0.21736547350883484,0.8046875,1,27.12185287475586,-35.345863342285156,146.00173950195312,0.0005062500000000008,0.007031250000000001,0.0,,3
55,7040,eval,0.10478010773658752,0.015124281868338585,-137.77772521972656,,,,,,,,,,0.75,3
56,7168,self,0.14595280587673187,0.1154082641005516,-137.82501220703125,0.33594655990600586,0.859375,1,27.168197631835938,-35.345863342285156,146.002685546875,-0.012993749999999995,0.008398437500000001,0.0,,4
57,7296,self,0.1374916434288025,0.05610059201717377,-137.83493041992188,0.30815327167510986,0.8125,1,27.16846466064453,-35.345863342285156,146.0123291015625,0.009675000000000001,0.0095703125,0.0,,4
58,7424,self,0.15224623680114746,0.22012442350387573,-137.87857055664062,0.2524905800819397,0.78125,1,27.179359436035156,-35.345863342285156,146.0450897216797,-0.014270312500000002,0.009960937500000001,0.0,,4
59,7552,self,0.18030287325382233,0.14955759048461914,-137.89688110351562,0.2650034725666046,0.8046875,1,27.16147232055664,-35.345863342285156,146.08126831054688,0.008375,0.012109375,0.0,,4
60,7680,self,0.10067097842693329,0.02905576303601265,-138.00904846191406,0.24478939175605774,0.765625,1,27.22678565979004,-35.345863342285156,146.12811279296875,-0.00036718750000000206,0.008007812500000001,0.0,,4
60,7680,eval,0.10067097842693329,0.02905576303601265,-138.00904846191406,,,,,,,,,,0.5,4
61,7808,self,0.12552577257156372,0.09046414494514465,-138.07015991210938,0.21497778594493866,0.7734375,1,27.24761962890625,-35.345863342285156,146.16839599609375,0.013862499999999995,0.010546874999999999,0.0,,4
62,7936,league,0.11651945859193802,0.0886007770895958,-138.16610717773438,0.1966390311717987,0.7421875,1,27.312557220458984,-35.345863342285156,146.1994171142578,0.010918750000000003,0.008984375000000003,0.0,,4
63,8064,self,0.1912194937467575,0.026056181639432907,-138.25009155273438,0.3565751910209656,0.7890625,1,27.35620880126953,-35.345863342285156,146.23974609375,-0.00014531249999999983,0.000390625,0.0,,4
64,8192,league,0.08501942455768585,0.08825333416461945,-138.2872314453125,0.2108316570520401,0.78125,1,27.36377716064453,-35.345863342285156,146.26931762695312,0.004804687500000001,0.01640625,0.0,,4
65,8320,self,0.2009219229221344,0.03315938636660576,-138.32260131835938,0.2845764458179474,0.7734375,1,27.383316040039062,-35.345863342285156,146.28512573242188,-0.0009734375000000002,0.0,0.0,,4
65,8320,eval,0.2009219229221344,0.03315938636660576,-138.32260131835938,,,,,,,,,,0.5,4
66,8448,self,0.11923080682754517,0.10074623674154282,-138.40174865722656,0.29870158433914185,0.7890625,1,27.43238067626953,-35.345863342285156,146.31521606445312,-0.006975000000000004,0.0035156249999999975,0.0,,4
67,8576,self,0.1196386069059372,0.06341982632875443,-138.44732666015625,0.2978922426700592,0.8046875,1,27.45660400390625,-35.345863342285156,146.33657836914062,0.003431250000000001,0.014257812499999998,0.0,,4
68,8704,league,0.10338073968887329,0.07792946696281433,-138.491943359375,0.22593727707862854,0.75,1,27.478553771972656,-35.345863342285156,146.35926818847656,0.008892187499999997,0.0134765625,0.0,,4
69,8832,self,0.18507704138755798,0.09367658197879791,-138.52490234375,0.20619133114814758,0.78125,1,27.484573364257812,-35.345863342285156,146.3861846923828,0.008065624999999998,0.012890625000000003,0.0,,4
70,8960,self,0.07637716829776764,0.027928845956921577,-138.57269287109375,0.2767012119293213,0.7734375,1,27.501386642456055,-35.345863342285156,146.41717529296875,0.0036265624999999996,0.008398437500000003,0.0,,4
