generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,win_rate,league_size
1,512,self,0.22873443365097046,0.008600371889770031,-139.21926879882812,0.7015087604522705,0.921875,1,27.682289123535156,-35.345863342285156,146.88284301757812,,1
2,1024,league,0.014692164957523346,0.03571610897779465,-139.14889526367188,0.7665398716926575,0.90625,1,27.693862915039062,-35.345863342285156,146.80088806152344,,1
3,1536,self,0.07389488071203232,0.0782918632030487,-139.10215759277344,0.5482814311981201,0.8515625,1,27.7117862701416,-35.345863342285156,146.73623657226562,,1
4,2048,league,0.3209782838821411,0.010614548809826374,-139.07931518554688,0.78440260887146,0.8828125,1,27.713756561279297,-35.345863342285156,146.71139526367188,,1
5,2560,self,0.031137220561504364,0.0413547083735466,-139.07591247558594,0.6453861594200134,0.8671875,1,27.713314056396484,-35.345863342285156,146.70846557617188,,1
6,3072,self,0.05929262563586235,0.012328451499342918,-139.04087829589844,0.4892091155052185,0.84375,1,27.711318969726562,-35.345863342285156,146.6754150390625,,1
7,3584,self,0.36907851696014404,0.010238954797387123,-138.9791259765625,0.5953179001808167,0.8515625,1,27.7115478515625,-35.345863342285156,146.6134490966797,,1
8,4096,self,0.10501888394355774,0.03099091351032257,-138.88632202148438,0.4648343324661255,0.890625,1,27.703550338745117,-35.345863342285156,146.52862548828125,,1
9,4608,self,0.022605666890740395,0.04442740976810455,-138.79708862304688,0.5199600458145142,0.8515625,1,27.69762420654297,-35.345863342285156,146.44534301757812,,1
10,5120,self,0.011606939136981964,0.03276030719280243,-138.70870971679688,0.42944276332855225,0.8515625,1,27.688724517822266,-35.345863342285156,146.36585998535156,,1
10,5120,eval,0.011606939136981964,0.03276030719280243,-138.70870971679688,,,,,,,0.5,1
11,5632,self,0.17133286595344543,0.0074846032075583935,-138.63851928710938,0.3358774483203888,0.8046875,1,27.68620491027832,-35.345863342285156,146.29815673828125,,1
12,6144,self,0.2545855939388275,0.03296346962451935,-138.5996551513672,0.48673009872436523,0.8125,1,27.67970848083496,-35.345863342285156,146.26580810546875,,1
13,6656,self,0.17972314357757568,0.035041507333517075,-138.54222106933594,0.3676873445510864,0.828125,1,27.664831161499023,-35.345863342285156,146.22325134277344,,1
