generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,win_rate,league_size
101,51712,self,0.03694899380207062,0.3765639066696167,-139.04498291015625,,3
102,52224,league,0.024229083210229874,0.3176783323287964,-139.05747985839844,,3
103,52736,league,0.04884815961122513,0.2697412371635437,-139.06280517578125,,3
104,53248,league,0.03515323996543884,0.21652567386627197,-139.06423950195312,,3
105,53760,self,0.034648627042770386,0.07182051241397858,-139.06663513183594,,3
106,54272,league,0.0468289852142334,0.09549298882484436,-139.0597381591797,,3
107,54784,self,0.04985273629426956,0.08356180787086487,-139.05018615722656,,3
108,55296,self,0.03371796756982803,0.07004080712795258,-139.03810119628906,,3
109,55808,self,0.05537476763129234,0.06387868523597717,-139.03102111816406,,3
110,56320,self,0.03461460769176483,0.2534584105014801,-139.03433227539062,,3
111,56832,self,0.04279930517077446,0.07905825972557068,-139.02833557128906,,3
112,57344,self,0.03552177548408508,0.0763564333319664,-139.03538513183594,,3
113,57856,self,0.04635455086827278,0.48159968852996826,-139.05203247070312,,3
114,58368,self,0.05910740792751312,0.281997412443161,-139.0635223388672,,3
115,58880,self,0.05156553536653519,0.07632801681756973,-139.07473754882812,,3
116,59392,self,0.06451760232448578,0.26736122369766235,-139.0906982421875,,3
117,59904,league,0.039408378303050995,0.4241684675216675,-139.1077423095703,,3
118,60416,league,0.040277883410453796,0.09312345087528229,-139.12493896484375,,3
119,60928,self,0.04632137715816498,0.3489367961883545,-139.13661193847656,,3
120,61440,league,0.03536832705140114,0.2641564905643463,-139.14398193359375,,3
121,61952,league,0.03522563725709915,0.10881002247333527,-139.14735412597656,,3
122,62464,self,0.060013070702552795,0.2304360568523407,-139.1461639404297,,3
123,62976,self,0.06604930013418198,0.20450285077095032,-139.13587951660156,,3
124,63488,self,0.04547668993473053,0.06562075018882751,-139.13438415527344,,3
125,64000,self,0.04234826937317848,0.22508355975151062,-139.1295623779297,,3
126,64512,league,0.04643341898918152,0.06128331273794174,-139.1376495361328,,3
127,65024,league,0.04563438892364502,0.2102872133255005,-139.13453674316406,,3
128,65536,league,0.03939192369580269,0.10356742143630981,-139.12216186523438,,3
129,66048,league,0.043793935328722,0.06659987568855286,-139.10658264160156,,3
130,66560,self,0.05373203754425049,0.09405376017093658,-139.09475708007812,,3
131,67072,self,0.04113825410604477,0.22197213768959045,-139.07598876953125,,3
132,67584,league,0.05396246165037155,0.3735888600349426,-139.05316162109375,,3
133,68096,self,0.04387359321117401,0.21329614520072937,-139.03717041015625,,3
134,68608,self,0.05893974006175995,0.1584661304950714,-139.0267333984375,,3
135,69120,league,0.03194371610879898,0.24568717181682587,-139.02786254882812,,3
136,69632,league,0.0392867848277092,0.1905885934829712,-139.02622985839844,,3
137,70144,league,0.022956639528274536,0.19655340909957886,-139.024658203125,,3
138,70656,league,0.040998779237270355,0.2024763822555542,-139.03158569335938,,3
139,71168,league,0.02133212238550186,0.20151638984680176,-139.0404815673828,,3
140,71680,self,0.029284223914146423,0.3766767084598541,-139.05157470703125,,3
141,72192,league,0.03599131107330322,0.20730508863925934,-139.0635986328125,,3
142,72704,league,0.02822992019355297,0.06685386598110199,-139.06607055664062,,3
143,73216,self,0.03827930614352226,0.2205645740032196,-139.07151794433594,,3
144,73728,league,0.04615483433008194,0.17552463710308075,-139.06399536132812,,3
145,74240,self,0.0085532171651721,0.1487753540277481,-139.05831909179688,,3
146,74752,self,0.03147657960653305,0.13842368125915527,-139.04464721679688,,3
147,75264,self,0.036317408084869385,0.1966387927532196,-139.0274200439453,,3
148,75776,self,0.03423246741294861,0.19549812376499176,-139.01278686523438,,3
149,76288,league,0.03327890485525131,0.09058919548988342,-138.9979705810547,,3
150,76800,self,0.035711534321308136,0.12554442882537842,-138.9890899658203,,3
150,76800,eval,0.035711534321308136,0.12554442882537842,-138.9890899658203,0.45,3
151,77312,league,0.017624150961637497,0.07287582755088806,-138.97720336914062,,3
152,77824,league,0.01266158651560545,0.06764554977416992,-138.97503662109375,,3
153,78336,league,0.03444445878267288,0.1774120330810547,-138.9613037109375,,3
154,78848,league,0.033106476068496704,0.22522033751010895,-138.94467163085938,,3
155,79360,league,0.013634773902595043,0.34448540210723877,-138.92202758789062,,3
