timestamp,generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_launched_high_prod,mean_captured_neutral,mean_captured_enemy,mean_early_home_expand,noop_rate,high_prod_target_rate,neutral_capture_rate,enemy_capture_rate,early_home_expand_per_episode,mean_target_neutral,mean_target_enemy,mean_early_neutral_attempts,mean_early_enemy_attempts,mean_early_neutral_captured,mean_early_launch_neutral_captured,target_neutral_rate,target_enemy_rate,early_neutral_attempts_per_episode,early_enemy_attempts_per_episode,early_neutral_captured_per_episode,early_launch_neutral_captured_per_episode,early_neutral_launch_to_cap_rate,mean_unknown_removal,win_rate,league_size
2026-04-24 19:13:51,1,128,self,0.027641729917377234,0.1341382898390293,-4.009080767631531,0.04872716357931495,0.359375,4,1.8600710034370422,-1.2150140702724457,3.364023804664612,0.007756952196359634,0.03476665890775621,0.005542732775211334,0.1015625,0.248046875,0.08203125,0.0069625,0.011328125000000001,0.0,1.375,1.03125,0.75,0.0,0.0,0.0390625,0.3046875,0.0,0.0,0.546875,0.0390625,0.0625,0.0,0.078125,0.0,0.4609375,0.078125,0.0,0.0,0.203125,0.44696969696969696,0.07575757575757576,0.0,0.0,0.9296875,0.1015625,0.0546875,0.0,0.0,0.0,0.9015151515151515,0.09848484848484848,7.0,0.0,0.0,0.0,0.0,0.0,,1
2026-04-24 19:14:19,2,256,self,0.05462570674717426,0.11453464068472385,-8.306387424468994,0.10891219973564148,0.474609375,4,5.8486762046813965,-3.824532985687256,6.282244324684143,0.007694685133174062,0.09406757447868586,0.007873183698393404,0.109375,0.46875,0.12109375,0.017510937499999997,0.005859375000000002,0.0,4.328125,3.5625,0.8231046931407943,0.0,0.0,0.078125,0.6875,0.0234375,0.015625,1.3515625,0.546875,0.0703125,0.0234375,0.2265625,0.0625,1.375,0.09375,0.1953125,0.0,0.15625,0.38596491228070173,0.02631578947368421,0.05482456140350877,0.0,0.90625,2.65625,0.0546875,0.0,0.0078125,0.015625,0.2543859649122807,0.7456140350877193,7.0,0.0,1.0,2.0,0.2857142857142857,0.0,,1
2026-04-24 19:14:36,3,384,self,0.03243010584264994,0.04502331279218197,-4.839297533035278,0.054764444939792156,0.400390625,4,2.2014721035957336,-1.4842501282691956,4.12207567691803,0.0015510537195950747,0.051026476081460714,0.004875257494859397,0.00390625,0.3984375,0.060546875,-0.0024859374999999994,0.0080078125,0.0,1.6796875,1.4921875,0.8883720930232558,0.0,0.0,0.0234375,0.1640625,0.0390625,0.0,0.8125,0.0703125,0.0625,0.015625,0.09375,0.0,0.4921875,0.0859375,0.0078125,0.0,0.140625,0.3298429319371728,0.05759162303664921,0.005235602094240838,0.0,1.140625,0.3515625,0.0859375,0.0,0.0,0.015625,0.7643979057591623,0.2356020942408377,11.0,0.0,0.0,2.0,0.18181818181818182,0.0,,1
2026-04-24 19:14:51,4,512,self,0.026921804063022137,0.15418455377221107,-6.339929938316345,0.04107975773513317,0.357421875,4,3.5524452328681946,-2.2712478637695312,5.058732628822327,0.002575665363110602,0.0321600828319788,0.004981383215636015,0.013671875,0.28515625,0.056640625,-0.0008015624999999993,0.001953125000000001,0.0,2.5703125,2.28125,0.8875379939209727,0.0,0.0,0.0859375,0.203125,0.0625,0.0234375,0.9921875,0.3671875,0.03125,0.0078125,0.140625,0.0390625,1.28125,0.0625,0.1171875,0.0,0.203125,0.5616438356164384,0.0273972602739726,0.05136986301369863,0.0,0.6953125,1.5859375,0.046875,0.0,0.0,0.0078125,0.3047945205479452,0.6952054794520548,6.0,0.0,0.0,1.0,0.16666666666666666,0.0,,1
2026-04-24 19:15:15,5,640,league,0.023311938159167767,0.21279605478048325,-5.976598262786865,0.03103663958609104,0.267578125,4,3.3496375679969788,-2.2160200476646423,4.842980623245239,0.003164428868331015,0.026577572338283062,0.0043969531543552876,0.021484375,0.240234375,0.056640625,0.006431250000000003,0.0193359375,0.0,2.5078125,1.75,0.6978193146417445,0.0,0.0,0.03125,0.7265625,0.0,0.0,0.6875,0.109375,0.03125,0.0,0.125,0.0234375,0.7109375,0.1328125,0.015625,0.0,0.25,0.40625,0.07589285714285714,0.008928571428571428,0.0,1.28125,0.46875,0.046875,0.0,0.0,0.0,0.7321428571428571,0.26785714285714285,6.0,0.0,0.0,0.0,0.0,0.0,,1
2026-04-24 19:18:28,5,640,eval,0.023311938159167767,0.21279605478048325,-5.976598262786865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1
2026-04-24 19:18:50,6,768,league,-0.0012147380039095879,0.21327659487724304,-8.357173442840576,0.04550172295421362,0.33203125,4,5.70404589176178,-3.6933666467666626,6.346494078636169,0.003024272038601339,0.035958431661129,0.006377526093274355,0.015625,0.287109375,0.0859375,0.011462499999999999,0.015234374999999994,0.0,4.1796875,3.3984375,0.8130841121495327,0.0,0.0,0.1796875,0.6015625,0.03125,0.0,1.28125,0.5078125,0.1171875,0.0,0.171875,0.0390625,1.703125,0.1171875,0.09375,0.0,0.109375,0.5011494252873563,0.034482758620689655,0.027586206896551724,0.0,1.2578125,2.140625,0.0625,0.0,0.0,0.0234375,0.3701149425287356,0.6298850574712643,8.0,0.0,0.0,3.0,0.375,0.0,,1
2026-04-24 19:19:18,7,896,self,0.00435481034219265,0.044166846200823784,-5.320521712303162,0.017443419434130192,0.203125,4,2.6630412936210632,-1.5739955604076385,4.2314759492874146,0.0014116246020421386,0.01458267541602254,0.0030440700938925147,0.00390625,0.17578125,0.025390625,-0.005457812500000002,0.006835937500000002,0.0,1.78125,1.3359375,0.75,0.0,0.0,0.0703125,0.375,0.0078125,0.0,0.640625,0.0625,0.09375,0.0078125,0.09375,0.0078125,0.546875,0.078125,0.0234375,0.0,0.1953125,0.4093567251461988,0.05847953216374269,0.017543859649122806,0.0,1.0546875,0.28125,0.0546875,0.0,0.0,0.0078125,0.7894736842105263,0.21052631578947367,7.0,0.0,0.0,1.0,0.14285714285714285,0.0,,1
2026-04-24 19:19:38,8,1024,self,-0.0037253075279295444,0.02756553632207215,-3.688273012638092,0.018068490084260702,0.1953125,4,1.719981074333191,-1.0907512605190277,3.0590433478355408,0.0007384649943560362,0.014871784253045917,0.002975129405967891,0.0,0.169921875,0.025390625,-0.004003124999999997,0.0025390624999999992,0.0,1.234375,1.0234375,0.8291139240506329,0.0,0.0,0.046875,0.1640625,0.015625,0.0,0.515625,0.0546875,0.015625,0.0,0.078125,0.0,0.4140625,0.046875,0.03125,0.0,0.25,0.40458015267175573,0.04580152671755725,0.030534351145038167,0.0,0.6328125,0.390625,0.0859375,0.0,0.0,0.0,0.6183206106870229,0.3816793893129771,11.0,0.0,0.0,0.0,0.0,0.0,,1
2026-04-24 19:20:04,9,1152,self,0.00981360743753612,0.057487376034259796,-5.752956986427307,0.025409597903490067,0.26171875,4,3.0946516394615173,-1.8846525847911835,4.54295802116394,0.0016431903932243586,0.020951876882463694,0.0045832101022824645,0.001953125,0.216796875,0.056640625,-0.007400000000000001,0.008007812500000001,0.0,2.1328125,1.609375,0.7545787545787546,0.0,0.0,0.0625,0.4609375,0.0,0.0,0.65625,0.171875,0.0546875,0.015625,0.1328125,0.015625,0.65625,0.078125,0.0703125,0.0,0.265625,0.4077669902912621,0.04854368932038835,0.043689320388349516,0.0,0.5703125,1.0390625,0.0390625,0.0,0.0,0.0,0.35436893203883496,0.6456310679611651,5.0,0.0,0.0,0.0,0.0,0.0,,1
