generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,win_rate,league_size
1,128,self,0.2483227252960205,0.001050131511874497,-137.99961853027344,0.9916612505912781,0.8984375,1,27.195924758911133,-35.345863342285156,146.14956665039062,,1
2,256,self,0.20168110728263855,0.001652098260819912,-137.5506134033203,0.8669979572296143,0.90625,1,26.765554428100586,-35.345863342285156,146.13092041015625,,1
3,384,self,0.1686077117919922,0.00020887967548333108,-137.45843505859375,0.5138143301010132,0.8359375,1,26.794918060302734,-35.345863342285156,146.00936889648438,,1
4,512,self,0.29797983169555664,0.0004904002416878939,-137.6779327392578,0.4703637361526489,0.8515625,1,27.125102996826172,-35.345863342285156,145.898681640625,,1
5,640,self,0.22695942223072052,0.0011330965207889676,-137.8315887451172,0.49333879351615906,0.8203125,1,27.373781204223633,-35.345863342285156,145.80368041992188,,1
5,640,eval,0.22695942223072052,0.0011330965207889676,-137.8315887451172,,,,,,,0.5,1
6,768,self,0.3631848990917206,0.0003193207667209208,-138.06895446777344,0.5259062647819519,0.859375,1,27.579917907714844,-35.345863342285156,145.83489990234375,,1
7,896,self,0.43553030490875244,0.00034831115044653416,-138.23782348632812,0.6792452335357666,0.8203125,1,27.679887771606445,-35.345863342285156,145.90379333496094,,1
8,1024,self,0.3170423209667206,0.0013670794432982802,-138.31854248046875,0.6617121696472168,0.8828125,1,27.706336975097656,-35.345863342285156,145.9580841064453,,1
9,1152,league,0.23231348395347595,0.00039685459341853857,-138.34149169921875,0.5532005429267883,0.828125,1,27.667964935302734,-35.345863342285156,146.01937866210938,,1
10,1280,league,0.3792493939399719,0.0003662579692900181,-138.30491638183594,0.490528404712677,0.84375,1,27.607585906982422,-35.345863342285156,146.043212890625,,1
10,1280,eval,0.3792493939399719,0.0003662579692900181,-138.30491638183594,,,,,,,0.5,1
11,1408,self,0.25974541902542114,0.00010783342440845445,-138.302001953125,0.6010169386863708,0.8984375,1,27.579439163208008,-35.345863342285156,146.06842041015625,,1
12,1536,self,0.2039135992527008,0.00012235985195729882,-138.34371948242188,0.6700121164321899,0.8984375,1,27.586639404296875,-35.345863342285156,146.10293579101562,,1
13,1664,self,0.20150575041770935,0.0001576281210873276,-138.35598754882812,0.5825001001358032,0.859375,1,27.593666076660156,-35.345863342285156,146.1082000732422,,1
14,1792,self,0.23568500578403473,0.00016986475384328514,-138.34832763671875,0.6441329121589661,0.8359375,1,27.575916290283203,-35.345863342285156,146.1182861328125,,1
15,1920,self,0.19114869832992554,0.00012001043069176376,-138.392333984375,0.5626011490821838,0.953125,1,27.597824096679688,-35.345863342285156,146.140380859375,,1
15,1920,eval,0.19114869832992554,0.00012001043069176376,-138.392333984375,,,,,,,0.75,1
16,2048,self,0.11994066089391708,0.0002637213037814945,-138.389892578125,0.5345349311828613,0.90625,1,27.592147827148438,-35.345863342285156,146.14361572265625,,2
17,2176,self,0.2794448733329773,0.00011687601363519207,-138.42327880859375,0.546614408493042,0.8671875,1,27.60427474975586,-35.345863342285156,146.16485595703125,,2
18,2304,self,0.2936561405658722,0.00011990816710749641,-138.4473114013672,0.5165278315544128,0.8671875,1,27.610172271728516,-35.345863342285156,146.1829833984375,,2
19,2432,self,0.23542460799217224,0.0005561525467783213,-138.43405151367188,0.40768545866012573,0.8359375,1,27.601531982421875,-35.345863342285156,146.1783905029297,,2
20,2560,self,0.30360859632492065,0.000137351977173239,-138.4171142578125,0.4301181137561798,0.8203125,1,27.583694458007812,-35.345863342285156,146.17929077148438,,2
20,2560,eval,0.30360859632492065,0.000137351977173239,-138.4171142578125,,,,,,,0.75,2
21,2688,league,0.17595934867858887,0.0001616615627426654,-138.4017333984375,0.4449671506881714,0.9140625,1,27.559003829956055,-35.345863342285156,146.1885986328125,,3
22,2816,self,0.21081781387329102,0.00020939104433637112,-138.36672973632812,0.31053289771080017,0.8125,1,27.536632537841797,-35.345863342285156,146.17596435546875,,3
23,2944,self,0.16140034794807434,0.00017482880502939224,-138.32748413085938,0.4192184507846832,0.828125,1,27.509641647338867,-35.345863342285156,146.1636962890625,,3
24,3072,league,0.11071188747882843,0.0005007378058508039,-138.27407836914062,0.3772444725036621,0.8125,1,27.4849853515625,-35.345863342285156,146.13494873046875,,3
25,3200,self,0.09012678265571594,0.00019552127923816442,-138.24484252929688,0.26754671335220337,0.8125,1,27.483591079711914,-35.345863342285156,146.10711669921875,,3
25,3200,eval,0.09012678265571594,0.00019552127923816442,-138.24484252929688,,,,,,,0.75,3
26,3328,league,0.12701795995235443,0.00033989199437201023,-138.22747802734375,0.4373714327812195,0.8046875,1,27.485883712768555,-35.345863342285156,146.08746337890625,,4
27,3456,self,0.2131948173046112,0.00017802554066292942,-138.198486328125,0.23184561729431152,0.828125,1,27.485431671142578,-35.345863342285156,146.05892944335938,,4
28,3584,self,0.1949164867401123,0.0005164464237168431,-138.21640014648438,0.26575836539268494,0.8203125,1,27.523880004882812,-35.345863342285156,146.03839111328125,,4
29,3712,self,0.1448744535446167,6.785655568819493e-05,-138.25534057617188,0.24508440494537354,0.796875,1,27.573158264160156,-35.345863342285156,146.02804565429688,,4
30,3840,self,0.1621822565793991,0.0001721768348943442,-138.3011474609375,0.2679871916770935,0.7890625,1,27.60517692565918,-35.345863342285156,146.04183959960938,,4
30,3840,eval,0.1621822565793991,0.0001721768348943442,-138.3011474609375,,,,,,,0.25,4
31,3968,league,0.20105388760566711,0.00012401145067997277,-138.33013916015625,0.2731856405735016,0.8359375,1,27.624500274658203,-35.345863342285156,146.05149841308594,,4
32,4096,self,0.1681855320930481,0.0007143057882785797,-138.33956909179688,0.2629985809326172,0.78125,1,27.628660202026367,-35.345863342285156,146.0567626953125,,4
33,4224,self,0.11041323840618134,7.362628093687817e-05,-138.34381103515625,0.2595330476760864,0.84375,1,27.6251277923584,-35.345863342285156,146.06454467773438,,4
34,4352,self,0.3254806399345398,0.0008249525562860072,-138.31459045410156,0.3207991123199463,0.828125,1,27.606231689453125,-35.345863342285156,146.05422973632812,,4
35,4480,league,0.17767104506492615,0.0004253315564710647,-138.32199096679688,0.2947753965854645,0.796875,1,27.61438751220703,-35.345863342285156,146.053466796875,,4
35,4480,eval,0.17767104506492615,0.0004253315564710647,-138.32199096679688,,,,,,,0.25,4
36,4608,self,0.14665460586547852,6.625698006246239e-05,-138.3418426513672,0.295128732919693,0.7578125,1,27.632280349731445,-35.345863342285156,146.055419921875,,4
37,4736,self,0.2154245525598526,0.00019467470701783895,-138.36090087890625,0.3127739429473877,0.8203125,1,27.648502349853516,-35.345863342285156,146.0582733154297,,4
38,4864,self,0.1105564683675766,0.0006168381660245359,-138.38809204101562,0.20225335657596588,0.7421875,1,27.669113159179688,-35.345863342285156,146.06484985351562,,4
39,4992,self,0.1297130584716797,0.00015737576177343726,-138.40866088867188,0.2533368170261383,0.796875,1,27.68965721130371,-35.345863342285156,146.06484985351562,,4
40,5120,self,0.1643725037574768,0.00012426628381945193,-138.42689514160156,0.305512934923172,0.7734375,1,27.705551147460938,-35.345863342285156,146.0672149658203,,4
40,5120,eval,0.1643725037574768,0.00012426628381945193,-138.42689514160156,,,,,,,0.5,4
41,5248,self,0.12031091749668121,8.468960004393011e-05,-138.44775390625,0.24468842148780823,0.7421875,1,27.714115142822266,-35.345863342285156,146.07949829101562,,4
42,5376,self,0.2189827263355255,0.0001973011821974069,-138.46539306640625,0.31017616391181946,0.796875,1,27.705528259277344,-35.345863342285156,146.10574340820312,,4
43,5504,self,0.1886446475982666,0.00010181684046983719,-138.45977783203125,0.2635519802570343,0.8046875,1,27.685562133789062,-35.345863342285156,146.12008666992188,,4
44,5632,league,0.19587533175945282,0.00017230858793482184,-138.45111083984375,0.27544015645980835,0.8359375,1,27.66706085205078,-35.345863342285156,146.12991333007812,,4
45,5760,self,0.230706587433815,0.00019006096408702433,-138.4288330078125,0.2809910774230957,0.8046875,1,27.648269653320312,-35.345863342285156,146.12640380859375,,4
45,5760,eval,0.230706587433815,0.00019006096408702433,-138.4288330078125,,,,,,,0.75,4
46,5888,self,0.14427116513252258,0.0005684902425855398,-138.40615844726562,0.22870497405529022,0.8125,1,27.616884231567383,-35.345863342285156,146.1351318359375,,5
47,6016,self,0.14951616525650024,0.00035575078800320625,-138.39346313476562,0.3510928750038147,0.7734375,1,27.593074798583984,-35.345863342285156,146.146240234375,,5
48,6144,self,0.16222603619098663,0.00041828921530395746,-138.35760498046875,0.29445531964302063,0.8359375,1,27.541730880737305,-35.345863342285156,146.1617431640625,,5
49,6272,league,0.14332427084445953,0.00038684060564264655,-138.3321533203125,0.26290446519851685,0.8046875,1,27.507755279541016,-35.345863342285156,146.17025756835938,,5
50,6400,self,0.1610400676727295,0.00026943418197333813,-138.29144287109375,0.27298444509506226,0.78125,1,27.4637508392334,-35.345863342285156,146.17355346679688,,5
50,6400,eval,0.1610400676727295,0.00026943418197333813,-138.29144287109375,,,,,,,0.75,5
51,6528,league,0.10652002692222595,0.00020130447228439152,-138.2694091796875,0.21312285959720612,0.84375,1,27.435218811035156,-35.345863342285156,146.1800537109375,,5
52,6656,self,0.13708393275737762,0.0003109474782831967,-138.20538330078125,0.2698339819908142,0.8125,1,27.367477416992188,-35.345863342285156,146.18377685546875,,5
53,6784,self,0.16626036167144775,0.00018240915960632265,-138.1888885498047,0.2658021152019501,0.8046875,1,27.341285705566406,-35.345863342285156,146.1934814453125,,5
54,6912,self,0.17992106080055237,0.00022297873510979116,-138.1724853515625,0.29106757044792175,0.8046875,1,27.303245544433594,-35.345863342285156,146.21511840820312,,5
55,7040,league,0.1362704634666443,0.00018045795150101185,-138.10447692871094,0.26680758595466614,0.7890625,1,27.22455596923828,-35.345863342285156,146.22579956054688,,5
55,7040,eval,0.1362704634666443,0.00018045795150101185,-138.10447692871094,,,,,,,0.0,5
56,7168,league,0.19073700904846191,0.0006890773656778038,-138.02716064453125,0.2643081247806549,0.7734375,1,27.152441024780273,-35.345863342285156,146.2205810546875,,5
57,7296,self,0.16896793246269226,0.0008185841143131256,-137.98727416992188,0.2598966956138611,0.84375,1,27.115694046020508,-35.345863342285156,146.21743774414062,,5
58,7424,self,0.17580366134643555,0.0004768565995618701,-137.95236206054688,0.25942230224609375,0.828125,1,27.065723419189453,-35.345863342285156,146.23251342773438,,5
59,7552,self,0.17989736795425415,0.00012239989882800728,-137.92593383789062,0.2859727740287781,0.75,1,27.034582138061523,-35.345863342285156,146.23721313476562,,5
60,7680,self,0.1322193145751953,0.00044121601968072355,-137.87667846679688,0.23680439591407776,0.765625,1,27.0042667388916,-35.345863342285156,146.21829223632812,,5
60,7680,eval,0.1322193145751953,0.00044121601968072355,-137.87667846679688,,,,,,,0.5,5
61,7808,self,0.1824750006198883,0.000708794454112649,-137.83865356445312,0.25631988048553467,0.796875,1,26.974300384521484,-35.345863342285156,146.210205078125,,5
