generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
1,128,self,0.01982446783222258,0.011481278110295534,-3.2816532850265503,0.06262044608592987,0.310546875,4,1.2320465445518494,-0.8422256708145142,2.891832411289215,0.004982914309948683,0.0569800459779799,0.006568248383700848,0.052734375,0.2578125,0.083984375,-0.009987500000000002,0.005859374999999999,0.0,0.953125,0.5078125,0.5327868852459017,0.0,0.0,0.203125,0.2421875,0.0078125,0.0,0.28125,0.0234375,0.0078125,0.0,0.046875,0.0,0.0,,1
2,256,self,-0.006523221265524626,0.01221078576054424,-6.4396843910217285,0.03906247019767761,0.369140625,4,2.262572228908539,-1.5118641257286072,5.688976526260376,0.002055178745649755,0.029800421558320522,0.0075443710666149855,0.001953125,0.267578125,0.0859375,0.0029859375000000003,0.003515625,0.0,1.7109375,0.9375,0.547945205479452,0.0,0.0,0.34375,0.4296875,0.0078125,0.0,0.40625,0.0,0.046875,0.0,0.0625,0.0,0.0,,1
3,384,self,0.011050018947571516,0.019561972236260772,-4.300973653793335,0.023916343692690134,0.28125,4,1.724763959646225,-1.0769443213939667,3.653154134750366,0.0016121040098369122,0.017890246585011482,0.004769728751853108,0.009765625,0.2109375,0.0546875,0.00399375,0.0042968749999999995,0.0,1.21875,0.6796875,0.5576923076923077,0.0,0.0,0.15625,0.3828125,0.0,0.0,0.296875,0.0,0.0390625,0.0,0.0546875,0.0,0.0,,1
4,512,self,-0.012635774444788694,0.010079704108648002,-2.1592935919761658,0.00793475704267621,0.091796875,4,0.7776424884796143,-0.5453756302595139,1.9270268380641937,0.0015403382712975144,0.004550191108137369,0.0013986892299726605,0.00390625,0.056640625,0.0,-0.004410937500000001,0.000390625,0.0,0.6171875,0.265625,0.43037974683544306,0.0,0.0,0.078125,0.2734375,0.0078125,0.0,0.140625,0.015625,0.0,0.0,0.0078125,0.0,0.0,,1
5,640,self,-0.0026394547894597054,0.003481637977529317,-1.826240599155426,0.006474861176684499,0.076171875,4,0.6751475185155869,-0.40040236711502075,1.5514954626560211,0.0004827386001124978,0.005609176587313414,0.0011505524162203074,0.0,0.072265625,0.00390625,-0.0016921875,0.0,0.0,0.453125,0.1796875,0.39655172413793105,0.0,0.0,0.078125,0.1953125,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,,1
5,640,eval,-0.0026394547894597054,0.003481637977529317,-1.826240599155426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1
6,768,self,-0.017023352906107903,0.0006055380072211847,-1.5816577970981598,0.014573884895071387,0.15234375,4,0.679314523935318,-0.38659538328647614,1.2889386415481567,0.0005148514173924923,0.013163201278075576,0.001011848682537675,0.0,0.13671875,0.001953125,-0.0005140625,0.0,0.0,0.4375,0.25,0.5714285714285714,0.0,0.0,0.0859375,0.1015625,0.0,0.0,0.109375,0.0,0.0078125,0.0,0.0,0.0,0.0,,2
7,896,self,0.031589423306286335,0.603689581155777,-13.837817430496216,0.055581689812242985,0.404296875,4,5.9249550104141235,-3.41722708940506,11.330089092254639,0.0034995771711692214,0.047203279100358486,0.006480652140453458,0.0234375,0.3515625,0.09375,0.021142187500000006,0.022070312500000005,0.0,3.8671875,1.4921875,0.38585858585858585,0.0,0.0,0.828125,1.546875,0.0,0.0,0.8125,0.15625,0.0390625,0.0,0.2109375,0.0546875,0.0,,2
8,1024,league,0.009061870165169239,0.020995273254811764,-4.890078067779541,0.02660436136648059,0.2265625,4,1.7493343949317932,-1.0907512307167053,4.231495141983032,0.0012851279461756349,0.024596438743174076,0.002147210296243429,0.0078125,0.205078125,0.017578125,0.0030203125000000013,0.00390625,0.0,1.234375,0.4375,0.35443037974683544,0.0,0.0,0.203125,0.59375,0.0,0.0,0.2265625,0.0,0.0,0.0,0.0546875,0.0,0.0,,2
9,1152,self,0.0014454054180532694,0.07250280305743217,-6.836147904396057,0.024867949075996876,0.25,4,2.753557860851288,-1.6499338746070862,5.7325239181518555,0.002110849949531257,0.017043515108525753,0.004140058648772538,0.0078125,0.201171875,0.0546875,0.0007015625000000001,0.012695312500000002,0.0,1.8671875,0.78125,0.41841004184100417,0.0,0.0,0.453125,0.6328125,0.0234375,0.0,0.421875,0.0546875,0.015625,0.0,0.140625,0.0078125,0.0,,2
