timestamp,generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_launched_high_prod,mean_captured_neutral,mean_captured_enemy,mean_early_home_expand,noop_rate,high_prod_target_rate,neutral_capture_rate,enemy_capture_rate,early_home_expand_per_episode,mean_unknown_removal,win_rate,league_size
2026-04-24 18:00:51,1,504,self,0.0032895521726459265,0.014954454323742539,-1.703522838652134,0.03300617035711184,0.2316406276077032,4,0.8272954076528549,-0.508470743894577,1.3846982046961784,0.0015602402927470393,0.025031562385265715,0.006306985305855051,0.0035481772501952946,0.13652343885041773,0.10859375214204192,0.0006833333333333332,0.0027777777777777783,0.0,0.5753968253968254,0.46825396825396837,0.8043761955070324,0.0,0.0,0.02182539682539682,0.0853174603174603,0.0,0.0,0.15277777777777776,0.007936507936507936,0.005952380952380952,0.0,0.015873015873015872,0.001984126984126984,0.20238095238095236,0.017857142857142856,0.0,0.0,0.4900793650793651,0.43855360454092335,0.028794043784985814,0.0,0.0,0.0,,1
2026-04-24 18:01:08,2,1008,league,-0.00512533808068838,0.0032694168912712485,-1.373371809720993,0.0076519894355442375,0.0860351575538516,4,0.7080486342310905,-0.3873432781547308,1.052666462957859,0.0025265599942940753,0.0033658694301266223,0.0017513935454189777,0.0019856771104969084,0.040266927564516664,0.014518229465465993,-0.0008162698412698413,0.0013888888888888892,0.0,0.4384920634920635,0.34920634920634924,0.7963990719892423,0.0,0.0,0.011904761904761904,0.07738095238095237,0.0,0.0,0.14285714285714285,0.0,0.005952380952380952,0.0,0.007936507936507936,0.0,0.18452380952380953,0.007936507936507936,0.0,0.0,0.5694444444444444,0.5201100370218018,0.017401960784313726,0.0,0.0,0.0,,1
2026-04-24 18:01:22,3,1512,self,0.001081415917724371,0.0078170605993364,-1.6305245161056519,0.008482843099045567,0.10540364775806665,4,0.8189234733581543,-0.45376059226691723,1.2653616406023502,0.0007080757495714352,0.005263515304250177,0.002532961567339953,0.0,0.06689453194849193,0.03346354246605188,0.0008837301587301588,0.0021825396825396826,0.0,0.5138888888888888,0.41269841269841273,0.8043370225849253,0.0,0.0,0.011904761904761904,0.08928571428571429,0.0,0.0,0.1448412698412698,0.0,0.001984126984126984,0.0,0.017857142857142856,0.0,0.19444444444444442,0.017857142857142856,0.0,0.0,0.5277777777777779,0.4839428322652007,0.03702259120022278,0.0,0.0,0.0,,1
2026-04-24 18:01:39,4,2016,self,-0.0016829450760269538,0.036721450043842196,-1.5621987506747246,0.006185533871757798,0.07858073036186397,4,0.8362652957439423,-0.39295235462486744,1.1188857965171337,0.00033765512125683017,0.003834955918136984,0.0018110361088474747,0.0,0.04931640753056854,0.020768229325767606,0.0016202380952380954,0.004910714285714285,0.0,0.44444444444444436,0.3829365079365079,0.8553323689193254,0.0,0.0,0.005952380952380952,0.05555555555555556,0.0,0.0,0.12896825396825398,0.001984126984126984,0.001984126984126984,0.0,0.031746031746031744,0.0,0.2222222222222222,0.031746031746031744,0.0,0.0,0.6071428571428571,0.5548619204869205,0.0723905723905724,0.0,0.0,0.0,,1
2026-04-24 18:01:56,5,2520,self,-0.0009493528632447124,0.009824397566262633,-1.35929574072361,0.006210597581230104,0.06643880275078118,4,0.7445447631180286,-0.34687155671417713,0.9616225510835648,0.0005545802705455571,0.004667276800319087,0.001063780153344851,0.0,0.05416666739620268,0.003938802110496908,0.00046150793650793646,0.0020833333333333333,0.0,0.39285714285714285,0.3035714285714286,0.7825126439464675,0.0,0.0,0.00992063492063492,0.07936507936507937,0.0,0.0,0.11706349206349205,0.003968253968253968,0.001984126984126984,0.0,0.017857142857142856,0.0,0.15079365079365079,0.017857142857142856,0.0,0.0,0.6349206349206349,0.5117703307041542,0.053075662083015014,0.0,0.0,0.0,,1
2026-04-24 18:02:13,6,3024,league,-0.001968138152733445,0.0148605554131791,-1.5893792510032654,0.0073710342549020424,0.07802734535653144,4,0.8671402260661125,-0.4188692066818476,1.1411082223057747,0.0025692685076137423,0.0032619239209452644,0.0015825010050320998,0.01341145863989368,0.040397135890088975,0.017936198331881315,0.0008238095238095239,0.004166666666666667,0.0,0.47420634920634924,0.40079365079365087,0.8222255291005292,0.0,0.0,0.003968253968253968,0.06944444444444443,0.0,0.0,0.1349206349206349,0.0,0.005952380952380952,0.0,0.027777777777777773,0.0,0.25793650793650785,0.027777777777777773,0.0,0.0,0.6091269841269841,0.6356133412585026,0.05377910619846104,0.0,0.0,0.0,,1
2026-04-24 18:02:29,7,3528,self,-0.007834314368665218,0.01828340394422412,-1.2538752928376198,0.009105490426009055,0.11588541814126074,4,0.7105786167085171,-0.31537439953535795,0.8586710467934608,0.005454129091958748,0.0027482643163239118,0.0010082129829243058,0.06337890692520887,0.033789063163567334,0.00904947950039059,0.0009230158730158729,0.00367063492063492,0.0,0.35714285714285715,0.28968253968253965,0.8105472027685648,0.0,0.0,0.007936507936507936,0.05952380952380953,0.0,0.0,0.1388888888888889,0.003968253968253968,0.003968253968253968,0.0,0.02182539682539682,0.0,0.14087301587301587,0.02182539682539682,0.0,0.0,0.6587301587301588,0.4908012194776901,0.06979193192428487,0.0,0.0,0.0,,1
2026-04-24 18:02:46,8,4032,self,-8.69282812345773e-05,0.02129692619200796,-1.3488225117325783,0.003245085372327594,0.039778646314516664,4,0.7899602428078651,-0.33004431426525116,0.8889065720140934,0.0006282227222982328,0.0017405994512955658,0.0007422574817610439,0.0010416667209938169,0.01930338575039059,0.004003906331490725,0.0014920634920634918,0.00634920634920635,0.0,0.373015873015873,0.31746031746031744,0.8565746185263728,0.0,0.0,0.005952380952380952,0.0496031746031746,0.0,0.0,0.13095238095238093,0.007936507936507936,0.0,0.0,0.03968253968253969,0.001984126984126984,0.1349206349206349,0.041666666666666664,0.0,0.0,0.6884920634920634,0.4403914071033636,0.1252733277189799,0.0,0.0,0.0,,1
2026-04-24 18:03:02,9,4536,league,-0.0038607227616012096,0.006620949396165088,-1.041536584496498,0.005333834167686291,0.07226562639698386,4,0.6481735929846764,-0.22807402443140745,0.621437031775713,0.0038791873630543705,0.0009154318577202503,0.0005536302141990745,0.06067708466434851,0.011360677191987634,0.00048828125,-0.002033333333333334,0.0016865079365079366,0.0,0.2579365079365079,0.21428571428571427,0.872172619047619,0.0,0.0,0.005952380952380952,0.037698412698412696,0.0,0.0,0.09325396825396826,0.003968253968253968,0.0,0.0,0.015873015873015872,0.0,0.10912698412698411,0.015873015873015872,0.0,0.0,0.7559523809523809,0.5355744949494949,0.05509259259259259,0.0,0.0,0.0,,1
2026-04-24 18:03:19,10,5040,self,-0.00043180079956073314,0.04388097138144076,-1.5821011438965797,0.0028048341191606596,0.034016927413176745,4,0.9092919938266277,-0.3888965602964163,1.0617057271301746,0.00047582684237568174,0.0015520397064392455,0.0006690865266136825,0.00048828125,0.017708333441987634,0.00048828125,0.0031813492063492055,0.00753968253968254,0.0,0.44047619047619063,0.376984126984127,0.8517631460456004,0.0,0.0,0.007936507936507936,0.05555555555555555,0.0,0.0,0.14682539682539683,0.0,0.0,0.0,0.04563492063492063,0.0,0.16666666666666666,0.04563492063492063,0.0,0.0,0.6388888888888888,0.4674091937316575,0.08746854326564472,0.0,0.0,0.0,,1
